TIPS;NOSAUKUMS;ADRESE
Bibliotēka;Ādažu bibliotēka;Gaujas iela 27B, Ādaži, Ādažu nov., LV-2164
Bibliotēka;Babītes novada pašvaldības bibliotēka;Jūrmalas iela 14A, Piņķi, Babītes pag., Babītes nov., LV-2107
Bibliotēka;Baložu pilsētas bibliotēka;Skolas iela 4, Baloži, Ķekavas nov., LV-2112
Bibliotēka;Carnikavas novada bibliotēka;Jūras iela 1A, Carnikava, Carnikavas nov., LV-2163
Bibliotēka;Durbes novada Vecpils bibliotēka;"Vecpils pamatskola", Vecpils, Vecpils pag., Durbes nov., LV-3441
Bibliotēka;Durbes novada Dunalkas bibliotēka;"Pagastmāja", Dunalka, Dunalkas pag., Durbes nov., LV-3452
Bibliotēka;Inčukalna novada bibliotēka;Atmodas iela 4, Inčukalns, Inčukalna pag., Inčukalna nov., LV-2141
Bibliotēka;Krimuldas novada Inciema bibliotēka;Straupes iela 4, Inciems, Krimuldas pag., Krimuldas nov., LV-2145
Bibliotēka;Mālpils novada bibliotēka;Nākotnes iela 5, Mālpils, Mālpils nov., LV-2152
Bibliotēka;Mārupes novada Domes Mazcenas bibliotēka;Mazcenu aleja 33/3, Jaunmārupe, Mārupes nov., LV-2166
Bibliotēka;Olaines bibliotēka;Zemgales iela 24, Olaine, Olaines nov., LV-2114
Bibliotēka;Ropažu novada bibliotēka;Centra iela 3, Ropaži, Ropažu nov., LV-2135
Bibliotēka;Saulkrastu novada bibliotēka;Raiņa iela 7, Saulkrasti, Saulkrastu nov., LV-2160
Bibliotēka;Sējas novada bibliotēka;"Jēņi", Loja, Sējas nov., LV-2142
Bibliotēka;Siguldas novada bibliotēka;Skolas iela 3, Sigulda, Siguldas nov., LV-2150
Bibliotēka;Jūrmalas Centrālās bibliotēkas Bulduru bibliotēka;Edinburgas prospekts 89, Jūrmala, LV-2010
Bibliotēka;Jūrmalas Centrālās bibliotēkas Kauguru bibliotēka;Engures iela 4A, Jūrmala, LV-2016
Bibliotēka;Jūrmalas Centrālās bibliotēkas Alberta Kronenberga Slokas bibliotēka;Raiņa iela 3, Jūrmala, LV-2011
Bibliotēka;Pāvilostas novada Sakas bibliotēka;"Pagasta māja", Saka, Sakas pag., Pāvilostas nov., LV-3466
Bibliotēka;Pāvilostas novada Ulmales bibliotēka;"Ulmales", Ulmale, Sakas pag., Pāvilostas nov., LV-3466
Bibliotēka;Pāvilostas novada Rīvas bibliotēka;"Rīvas", Rīva, Sakas pag., Pāvilostas nov., LV-3466
Bibliotēka;Pāvilostas novada Pāvilostas bibliotēka;Dzintaru iela 73, Pāvilosta, Pāvilostas nov., LV-3466
Bibliotēka;Bunkas pagasta Tadaiķu ciema bibliotēka;Saules iela 10, Tadaiķi, Bunkas pag., Priekules nov., LV-3446
Bibliotēka;Liepājas Centrālā zinātniskā bibliotēka;Zivju iela 7, Liepāja, LV-3401
Bibliotēka;Liepājas Centrālās zinātniskās bibliotēkas filiālbibliotēka "Libris";Mirdzas Ķempes iela 11, Liepāja, LV-3407
Bibliotēka;Liepājas Centrālās zinātniskās bibliotēkas filiālbibliotēka "Valtera bibliotēka";Krūmu iela 29, Liepāja, LV-3405
Bibliotēka;Liepājas Centrālās zinātniskās bibliotēkas filiālbibliotēka  "Varavīksne";Brīvības iela 39, Liepāja, LV-3401
Bibliotēka;Liepājas Centrālās zinātniskās bibliotēkas bērnu bibliotēka "Vecliepājas rūķis";Malkas iela 4, Liepāja, LV-3401
Bibliotēka;Embūtes pagasta bibliotēka;Uzvaras iela 6, Vībiņi, Embūtes pag., Vaiņodes nov., LV-3436
Bibliotēka;Nīcas pagasta bibliotēka;Bārtas iela 6, Nīca, Nīcas pag., Nīcas nov., LV-3473
Bibliotēka;Otaņķu pagasta bibliotēka;"Pagastmāja", Rude, Otaņķu pag., Nīcas nov., LV-3475
Bibliotēka;Gulbenes novada bibliotēka;O. Kalpaka iela 60A, Gulbene, Gulbenes nov., LV-4401
Bibliotēka;Stāmerienas pagasta Kalnienas bibliotēka;"Mazkalniena", Kalniena, Stāmerienas pag., Gulbenes nov., LV-4406
Bibliotēka;Daukstu pagasta Staru bibliotēka;Dārza iela 10, Stari, Daukstu pag., Gulbenes nov., LV-4417
Bibliotēka;Stradu pagasta Stāķu bibliotēka;"Stāķi 19", Stāķi, Stradu pag., Gulbenes nov., LV-4417
Bibliotēka;Lejasciema pagasta bibliotēka;Rīgas iela 18, Lejasciems, Lejasciema pag., Gulbenes nov., LV-4412
Bibliotēka;Litenes pagasta bibliotēka;"Pagastnams 2", Litene, Litenes pag., Gulbenes nov., LV-4405
Bibliotēka;Rankas pagasta bibliotēka;"Ausmas", Ranka, Rankas pag., Gulbenes nov., LV-4416
Bibliotēka;Lizuma pagasta bibliotēka;"Akācijas", Lizums, Lizuma pag., Gulbenes nov., LV-4425
Bibliotēka;Stāmerienas pagasta bibliotēka;"Vecstāmeriena", Vecstāmeriena, Stāmerienas pag., Gulbenes nov., LV-4406
Bibliotēka;Galgauskas pagasta bibliotēka;"Pagastnams", Galgauska, Galgauskas pag., Gulbenes nov., LV-4428
Bibliotēka;Tirzas pagasta bibliotēka;"Biedrības nams", Tirza, Tirzas pag., Gulbenes nov., LV-4424
Bibliotēka;Druvienas pagasta bibliotēka;"Pagastmāja", Druviena, Druvienas pag., Gulbenes nov., LV-4426
Bibliotēka;Jaungulbenes pagasta bibliotēka;"Gulbīts", Gulbītis, Jaungulbenes pag., Gulbenes nov., LV-4420
Bibliotēka;Beļavas pagasta bibliotēka;Avotu iela 2, Beļava, Beļavas pag., Gulbenes nov., LV-4409
Bibliotēka;Līgo pagasta bibliotēka;"Jaunstukmaņi", Līgo, Līgo pag., Gulbenes nov., LV-4421
Bibliotēka;Rankas pagasta Gaujasrēveļu bibliotēka;"Rēveļu pamatskola", Gaujasrēveļi, Rankas pag., Gulbenes nov., LV-4416
Bibliotēka;Lejasciema pagasta Mālu bibliotēka;"Mālmuižas pils", Lejasciema pag., Gulbenes nov., LV-4412
Bibliotēka;Lejasciema vidusskolas bibliotēka;Rīgas iela 20, Lejasciems, Lejasciema pag., Gulbenes nov., LV-4412
Bibliotēka;Gulbenes novada ģimnāzijas bibliotēka;Skolas iela 10, Gulbene, Gulbenes nov., LV-4401
Bibliotēka;Ventspils bibliotēka;Inženieru iela 101A, Ventspils, LV-3601
Bibliotēka;Ventspils Pārventas bibliotēka;Tārgales iela 61, Ventspils, LV-3602
Bibliotēka;Zlēku bibliotēka;"Pūcītes", Zlēkas, Zlēku pag., Ventspils nov., LV-3617
