id,Stop_name,Stop_code,Common_code,Latitude,Longitude,Road_side,Road_number,Street,County,Parish,Village
"1,""Meža māja"",""15305"",""5514"",""56.9495100"",""23.5123491"",""Kreisā"","""",""Tūristu iela"",""Jūrmala"","""","""""
"2,""Meža māja"",""15306"",""5514"",""56.9497580"",""23.5132277"",""Labā"","""",""Tūristu iela"",""Jūrmala"","""","""""
"3,""Ogres Kalna pamatskola"",""11560"",""301"",""56.8166902"",""24.6076858"",""Labā"","""",""Kalna prospekts"",""Ogres novads"",""Ogres pilsēta"",""Ogre"""
"4,""Ogres Kalna pamatskola"",""11528"",""301"",""56.8168269"",""24.6074461"",""Kreisā"","""",""Kalna prospekts"",""Ogres novads"",""Ogres pilsēta"",""Ogre"""
"6,""18. kilometrs"",""15308"",""5517"",""57.0279989"",""24.3632728"",""Kreisā"",""A2"","""",""Ropažu novads"","""","""""
"7,""18. kilometrs"",""15309"",""5517"",""57.0280886"",""24.3647022"",""Labā"",""A2"","""",""Ropažu novads"","""","""""
"8,""25.CR"",""12580"",""721"",""56.4823655"",""23.0859993"",""Kreisā"",""P96"","""",""Auces novads"",""Bēnes pagasts"",""Bēne"""
"9,""25.CR"",""13029"",""721"",""56.4825882"",""23.0851327"",""Labā"",""P96"","""",""Auces novads"",""Bēnes pagasts"",""Bēne"""
"10,""6.līnija"",""15310"",""5519"",""56.6524624"",""23.6416042"",""Kreisā"",""P97"",""Dobeles šoseja"",""Jelgava"","""","""""
"11,""A. Pumpura iela"",""15311"",""5520"",""56.8185385"",""24.5886998"",""Kreisā"","""",""Andreja Pumpura iela"",""Ogres novads"",""Ogres pilsēta"",""Ogre"""
"12,""A. Pumpura iela"",""15312"",""5520"",""56.8189030"",""24.5888263"",""Labā"","""",""Andreja Pumpura iela"",""Ogres novads"",""Ogres pilsēta"",""Ogre"""
"13,""A.Upīša iela"",""15313"",""5533"",""56.8198995"",""24.5767975"",""Labā"","""",""Jaunogres prospekts"",""Ogres novads"",""Ogres pilsēta"",""Ogre"""
"14,""A.Upīša iela"",""15314"",""5533"",""56.8199419"",""24.5774440"",""Kreisā"","""",""Jaunogres prospekts"",""Ogres novads"",""Ogres pilsēta"",""Ogre"""
"15,""A/S Jūrmalas celtnieks"",""11892"",""333"",""56.9621928"",""23.7722089"",""Kreisā"","""",""Slokas iela"",""Jūrmala"","""","""""
"16,""A/S Jūrmalas celtnieks"",""11841"",""333"",""56.9630515"",""23.7721544"",""Labā"","""",""Slokas iela"",""Jūrmala"","""","""""
"17,""A/s Preiļu siers"",""13030"",""730"",""56.2791336"",""26.7195925"",""Labā"",""V752"",""Andreja Upīša iela 1"",""Preiļu novads"",""Preiļu pagasts"","""""
"18,""A/S Ruks"",""15315"",""781"",""57.3011920"",""25.2633468"",""Labā"","""",""Krūmiņu iela 19"",""Cēsu novads"",""Cēsu pilsēta"",""Cēsis"""
"19,""AAS"",""15316"",""5534"",""57.4964302"",""22.8224457"",""Labā"",""P131"","""",""Rojas novads"","""",""Roja"""
"20,""AAS"",""15317"",""5534"",""57.4958460"",""22.8225740"",""Kreisā"",""P131"",""Selgas iela "",""Rojas novads"","""",""Roja"""
"21,""Dāvji"",""13031"",""733"",""56.7193466"",""24.1112348"",""Labā"",""V7"","""",""Olaines novads"",""Olaines pagasts"",""Dāvi"""
"22,""Dāvji"",""13032"",""733"",""56.7202383"",""24.1114136"",""Kreisā"",""V7"","""",""Olaines novads"",""Olaines pagasts"",""Dāvi"""
"23,""Ābelītes"",""13033"",""738"",""56.8096453"",""24.6480498"",""Kreisā"",""V967"",""J.Čakstes prospekts"",""Ogres novads"",""Ogres pilsēta"",""Ogre"""
"24,""Ābelītes"",""13034"",""739"",""57.3246764"",""26.8407863"",""Kreisā"",""V396"","""",""Alūksnes novads"",""Kalncempju pagasts"","""""
"25,""Ābelītes"",""13035"",""739"",""57.3247004"",""26.8407637"",""Labā"",""V396"","""",""Alūksnes novads"",""Kalncempju pagasts"","""""
"26,""Āboli"",""13036"",""741"",""55.8710866"",""26.3139195"",""Labā"",""V696"","""",""Daugavpils novads"",""Sventes pagasts"","""""
"27,""Āboli"",""13037"",""741"",""55.8712715"",""26.3138599"",""Kreisā"",""V696"","""",""Daugavpils novads"",""Sventes pagasts"","""""
"28,""Uzņēmumu parks"",""15318"",""5535"",""56.9146774"",""24.2859596"",""Labā"",""V35"","""",""Salaspils novads"","""",""Acone"""
"29,""Uzņēmumu parks"",""15319"",""5535"",""56.9147829"",""24.2844180"",""Kreisā"",""V35"","""",""Salaspils novads"","""",""Acone"""
"31,""Ādažu iela"",""15321"",""5539"",""57.0131794"",""24.2595867"",""Labā"","""",""Ādažu iela"",""Ropažu novads"","""",""Bukulti"""
"32,""Ādažu iela"",""15322"",""5539"",""57.0142902"",""24.2594762"",""Kreisā"","""",""Ādažu iela"",""Ropažu novads"","""",""Bukulti"""
"34,""Ādiņas"",""13120"",""922"",""56.8796140"",""24.1729634"",""Labā"",""V2"","""",""Ķekavas novads"",""Ķekavas pagasts"",""Katlakalns"""
"35,""Ādiņas"",""13121"",""922"",""56.8797002"",""24.1728810"",""Kreisā"",""V2"","""",""Ķekavas novads"",""Ķekavas pagasts"",""Katlakalns"""
"36,""Adzelvieši"",""13276"",""1345"",""57.7258893"",""25.3287501"",""Kreisā"",""V231"","""",""Burtnieku novads"",""Burtnieku pagasts"","""""
"37,""Adzelvieši"",""13277"",""1345"",""57.7258992"",""25.3287443"",""Labā"",""V231"","""",""Burtnieku novads"",""Burtnieku pagasts"","""""
"38,""Aizcirtums"",""13777"",""2531"",""57.4208406"",""27.1696184"",""Labā"",""V400"","""",""Alūksnes novads"",""Jaunalūksnes pagasts"","""""
"39,""Aizcirtums"",""13778"",""2531"",""57.4210219"",""27.1694766"",""Kreisā"",""V400"","""",""Alūksnes novads"",""Jaunalūksnes pagasts"","""""
"40,""Aizelkšņi"",""13253"",""1248"",""56.7968777"",""27.6375010"",""Labā"",""P48"","""",""Kārsavas novads"",""Salnavas pagasts"","""""
"41,""Aizelkšņi"",""13254"",""1248"",""56.7969744"",""27.6397803"",""Kreisā"",""P48"","""",""Kārsavas novads"",""Salnavas pagasts"","""""
"42,""Aizklāņi"",""15324"",""5542"",""57.6672248"",""22.5702412"",""Kreisā"",""P131"","""",""Rojas novads"","""",""Melnsils"""
"43,""Aizklāņi"",""15325"",""5542"",""57.6678935"",""22.5705806"",""Labā"",""P131"","""",""Rojas novads"","""",""Melnsils"""
"44,""Aizkraukles iela"",""15326"",""5543"",""56.5197320"",""25.8500900"",""Labā"",""A6"",""Rīgas iela"",""Jēkabpils"","""","""""
"45,""Aizkraukles iela"",""15327"",""5543"",""56.5204634"",""25.8488672"",""Kreisā"",""A6"",""Rīgas iela"",""Jēkabpils"","""","""""
"46,""Aizkraukles kultūras nams"",""15328"",""5550"",""56.6155191"",""25.2247657"",""Labā"","""",""Kalna iela 20"",""Aizkraukles novads"",""Aizkraukles pagasts"",""Aizkraukle"""
"47,""Aizkraukles kultūras nams"",""15329"",""5550"",""56.6155212"",""25.2254486"",""Kreisā"","""",""Kalna iela 20"",""Aizkraukles novads"",""Aizkraukles pagasts"",""Aizkraukle"""
"48,""Aizkraukles pagasts"",""15330"",""8281"",""56.6169493"",""25.2188174"",""A/V"","""",""Kalna iela 4"",""Aizkraukles novads"",""Aizkraukles pagasts"",""Aizkraukle"""
"49,""Aizmeži"",""13383"",""1655"",""57.5906250"",""25.2290635"",""Labā"",""V216"","""",""Kocēnu novads"",""Bērzaines pagasts"","""""
"50,""Aizmeži"",""13384"",""1655"",""57.5906297"",""25.2290373"",""Kreisā"",""V216"","""",""Kocēnu novads"",""Bērzaines pagasts"","""""
"51,""Aizpūre"",""15018"",""4854"",""56.5832098"",""27.9846950"",""Kreisā"",""V509"","""",""Ciblas novads"",""Līdumnieku pagasts"","""""
"52,""Aizpūre"",""15019"",""4854"",""56.5832334"",""27.9847476"",""Labā"",""V509"","""",""Ciblas novads"",""Līdumnieku pagasts"","""""
"53,""Aizupes"",""9177"",""203"",""56.6946300"",""23.8024502"",""A/V"",""P100"",""Rīgas iela"",""Ozolnieku novads"",""Ozolnieku pagasts"",""Ozolnieki"""
"56,""Akmeņdruvas"",""13996"",""2894"",""57.5039362"",""27.3596585"",""Labā"",""V392"","""",""Alūksnes novads"",""Pededzes pagasts"","""""
"57,""Akmeņdruvas"",""13997"",""2894"",""57.5039683"",""27.3593982"",""Kreisā"",""V392"","""",""Alūksnes novads"",""Pededzes pagasts"","""""
